clave provincinombre establecimiento                                           localidad                              tipo organización
4061MS4378    INSTITUTO PRESBÍTERO JOSÉ ALBERTINI                              LOBOS                                  ESCUELA SECUNDARIA
4061MS9000    COLEGIO HORIZONTE DE LOBOS                                       LOBOS                                  ESCUELA SECUNDARIA
4061PP0301    COLEGIO FASTA NIÑO JESUS                                         LOBOS                                  ESCUELA DE EDUCACIÓN PRIMARIA
4061PP1673    ESCUELA PADRE LARUMBE                                            LOBOS                                  ESCUELA DE EDUCACIÓN PRIMARIA
4061PP8277    COLEGIO HORIZONTE DE LOBOS                                       LOBOS                                  ESCUELA DE EDUCACIÓN PRIMARIA
4062BS6995    INSTITUTO GENERAL SAN MARTÍN                                     BANDFIELD                              ESCUELA SECUNDARIA BÁSICA
4062BS7039    INSTITUTO JUAN XXIII                                             TEMPERLEY                              ESCUELA SECUNDARIA BÁSICA
4062EE1970    ESCUELA ESPECIAL ANGELES CUSTODIOS                               LOMAS DE ZAMORA                        ESCUELA DE EDUCACIÓN ESPECIAL
4062EE1970    ESCUELA ESPECIAL ANGELES CUSTODIOS                               LOMAS DE ZAMORA                        ESCUELA DE EDUCACIÓN ESPECIAL
4062EE2730    ESCUELA DE LA LLAVE DEL CIELO AZUL                               LOMAS DE ZAMORA                        ESCUELA DE EDUCACIÓN ESPECIAL
4062EE2730    ESCUELA DE LA LLAVE DEL CIELO AZUL                               LOMAS DE ZAMORA                        ESCUELA DE EDUCACIÓN ESPECIAL
4062EE2730    ESCUELA DE LA LLAVE DEL CIELO AZUL                               LOMAS DE ZAMORA                        ESCUELA DE EDUCACIÓN ESPECIAL
4062EE2854    ESCUELA ESPECIAL REDONDEL                                        LOMAS DE ZAMORA                        ESCUELA DE EDUCACIÓN ESPECIAL
4062EE2854    ESCUELA ESPECIAL REDONDEL                                        LOMAS DE ZAMORA                        ESCUELA DE EDUCACIÓN ESPECIAL
4062EE3774    INSTITUTO DE EDUCACION ESPECIAL C.A.R.I.                         LOMAS DE ZAMORA                        ESCUELA DE EDUCACIÓN ESPECIAL
4062EE3774    INSTITUTO DE EDUCACION ESPECIAL C.A.R.I.                         LOMAS DE ZAMORA                        ESCUELA DE EDUCACIÓN ESPECIAL
4062EE3774    INSTITUTO DE EDUCACION ESPECIAL C.A.R.I.                         LOMAS DE ZAMORA                        ESCUELA DE EDUCACIÓN ESPECIAL
4062EE6123    ESCUELA ESPECIAL NUEVA ESCUELA LOMAS                             LOMAS DE ZAMORA                        ESCUELA DE EDUCACIÓN ESPECIAL
4062EE6123    ESCUELA ESPECIAL NUEVA ESCUELA LOMAS                             LOMAS DE ZAMORA                        ESCUELA DE EDUCACIÓN ESPECIAL
4062EE6123    ESCUELA ESPECIAL NUEVA ESCUELA LOMAS                             LOMAS DE ZAMORA                        ESCUELA DE EDUCACIÓN ESPECIAL
4062EE6255    ESCUELA ESPECIAL FUNDAR CAMINOS                                  LOMAS DE ZAMORA                        ESCUELA DE EDUCACIÓN ESPECIAL
4062EE6255    ESCUELA ESPECIAL FUNDAR CAMINOS                                  LOMAS DE ZAMORA                        ESCUELA DE EDUCACIÓN ESPECIAL
4062EE6255    ESCUELA ESPECIAL FUNDAR CAMINOS                                  LOMAS DE ZAMORA                        ESCUELA DE EDUCACIÓN ESPECIAL
4062EE7577    ESCUELA SOLES DE EDUCACION ESPECIAL                              TEMPERLEY                              ESCUELA DE EDUCACIÓN ESPECIAL
4062EE7577    ESCUELA SOLES DE EDUCACION ESPECIAL                              TEMPERLEY                              ESCUELA DE EDUCACIÓN ESPECIAL
4062EE7577    ESCUELA SOLES DE EDUCACION ESPECIAL                              TEMPERLEY                              ESCUELA DE EDUCACIÓN ESPECIAL
4062EL5856    CENTRO DE FORMACION LABORAL REDONDEL                             LOMAS DE ZAMORA                        CENTRO DE FORMACIÓN LABORAL
4062EL5856    CENTRO DE FORMACION LABORAL REDONDEL                             LOMAS DE ZAMORA                        CENTRO DE FORMACIÓN LABORAL
4062EL5856    CENTRO DE FORMACION LABORAL REDONDEL                             LOMAS DE ZAMORA                        CENTRO DE FORMACIÓN LABORAL
4062ET6454    LA CASA DE JUANITA                                               TEMPERLEY                              CENTRO DE ESTIMULACIÓN Y APRENDIZAJES TEMPRANOS
4062ET6454    LA CASA DE JUANITA                                               TEMPERLEY                              CENTRO DE ESTIMULACIÓN Y APRENDIZAJES TEMPRANOS
4062IS3826    INSTITUTO SUPERIOR PARA LA FORMACION DE DOCENTES PEDRO GOYENA    LOMAS DE ZAMORA                        INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4062IS3903    SIGLO XXI                                                        LOMAS DE ZAMORA                        INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4062IS4406    ESCUELA DE ENF. Y ESP. PARAMEDICAS CRUZ ROJA ARG.                LOMAS DE ZAMORA                        INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4062IS4409    INSTITUTO SUPERIOR DE PROFESORADO PBRO.DR.ANTONI MARIA SAENZ     LOMAS DE ZAMORA                        INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4062IS4415    INSTITUTO CIELO AZUL                                             LOMAS DE ZAMORA                        INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4062IS4422    COLEGIO MODELO LOMAS                                             LOMAS DE ZAMORA                        INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4062IS4424    INSTITUTO CORAZON INMACULADO DE MARIA                            LOMAS DE ZAMORA                        INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4062IS4428    INSTITUTO MODELO DE EDUCACION FISICA                             BANDFIELD                              INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4062IS5515    INSTITUTO SUPERIOR DE PSICOLOGIA SOCIAL DR.ENRIQUE PICHON RIVIERELOMAS DE ZAMORA                        INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4062IS5947    INSTITUTO SUP. SAN AGUSTIN                                       TEMPERLEY                              INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4062IS6571    INSTITUTO SUPERIOR DE ESTUDIOS LOMAS DE ZAMORA (ISEL)            LOMAS DE ZAMORA                        INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4062IS7603    INSTITUTO SUP. DEL LIBERTADOR                                    TEMPERLEY                              INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4062IS7993    INSTITUTO SUPERIOR DEL COLEGIO DE GESTORES                       LOMAS DE ZAMORA                        INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4062IS8208    INSTITUTO SUPERIOR DE FORMACION TÉCNICA ITALO SUIZO              TEMPERLEY                              INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4062JI0998    VICENTE PALLOTTI                                                 TURDERA                                JARDÍN DE INFANTES
4062JI1081    JARDIN DE INFANTES LAS ARDILLITAS                                BANDFIELD                              JARDÍN DE INFANTES
4062JI1159    JARDIN DE INFANTES PEPIN CASCARON                                BANDFIELD                              JARDÍN DE INFANTES
4062JI1221    JARDIN DE INFANTES NUESTRA SEÑORA DE LA MERCED                   LOMAS DE ZAMORA                        JARDÍN DE INFANTES
4062JI1276    JARDIN DE INFANTES EL NIÑO DE BELEN                              LOMAS DE ZAMORA                        JARDÍN DE INFANTES
4062JI1278    JARDIN DE INFANTES LA TORTUGUITA NINA                            LLAVALLOL                              JARDÍN DE INFANTES
4062JI1380    JARDIN MI MUNDO FELIZ                                            TEMPERLEY                              JARDÍN DE INFANTES
4062JI1396    JARDIN INFANTES EL BUEN PASTOR                                   BANDFIELD                              JARDÍN DE INFANTES
4062JI1432    JARDIN DE INFANTES ECCLESTON                                     TEMPERLEY                              JARDÍN DE INFANTES
4062JI1433    JARDIN DE INFANTES NUESTRA SEÑORA DE LUJAN                       LOMAS DE ZAMORA                        JARDÍN DE INFANTES
4062JI1434    JARDIN DE INFANTES PAULA ALBARRACIN DE SARMIENTO                 BANDFIELD                              JARDÍN DE INFANTES
4062JI1435    JARDIN DE INFANTES SAN ALBANO                                    LOMAS DE ZAMORA                        JARDÍN DE INFANTES
4062JI1520    JARDIN DE INFANTES VIRGEN NIÑA                                   BANDFIELD                              JARDÍN DE INFANTES
4062JI1533    JARDIN DE INFANTES PBRO. ANTONIO SAENZ                           LOMAS DE ZAMORA                        JARDÍN DE INFANTES
4062JI1652    JARDIN LA CASITA DEL SOL                                         LLAVALLOL                              JARDÍN DE INFANTES
4062JI1677    JARDIN DE INFANTES YUYITOS                                       BANDFIELD                              JARDÍN DE INFANTES
4062JI1743    JARDIN DE INFANTES SANTA MARIA GORETTI                           TEMPERLEY                              JARDÍN DE INFANTES
4062JI1772    JARDIN DE INFANTES BICHITO ROJO                                  LOMAS DE ZAMORA                        JARDÍN DE INFANTES
4062JI1798    JARDIN DE INFANTES ASUNCION DE MARIA                             TEMPERLEY                              JARDÍN DE INFANTES
4062JI1894    JARDIN DE INFANTES INMACULADA CONCEPCION                         LOMAS DE ZAMORA                        JARDÍN DE INFANTES
4062JI1896    JARDIN DE INFANTES JOSE HERNANDEZ                                LOMAS DE ZAMORA                        JARDÍN DE INFANTES
4062JI1906    JARDIN DE INFANTES HNOS GRIMM                                    TEMPERLEY                              JARDÍN DE INFANTES
4062JI1925    JARDIN DE INFANTES MANUEL BELGRANO                               TEMPERLEY                              JARDÍN DE INFANTES
4062JI1937    JARDIN DE INFANTES EUSKAL ECHEA                                  LLAVALLOL                              JARDÍN DE INFANTES
4062JI1978    JARDIN APOSTOLADO CATOLICO                                       TURDERA                                JARDÍN DE INFANTES
4062JI1985    JARDIN DE INFANTES BAMBI                                         BANDFIELD                              JARDÍN DE INFANTES
4062JI2023    JARDIN DE INFANTES MODELO LOMAS                                  LOMAS DE ZAMORA                        JARDÍN DE INFANTES
4062JI2078    JARDIN DE INFANTES NUESTRA SEÑORA DEL CARMEN                     LOMAS DE ZAMORA                        JARDÍN DE INFANTES
4062JI2097    JARDIN DE INFANTES SIDNEY SOWELL                                 BANDFIELD                              JARDÍN DE INFANTES
4062JI2199    COLEGIO NUESTRA SEÑORA DE COPACABANA                             BANDFIELD                              JARDÍN DE INFANTES
